"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","entrez","ensembl","gene_name"
660.558772514437,-1.41775381511501,0.163376166522172,1.72047434787006e-18,2.6779725716509e-17,"USP20","10868","ENSG00000136878","ubiquitin specific peptidase 20"
27.177153966725,-1.87291601644274,0.217874820479669,1.7250781460168e-18,2.68312417114526e-17,"ZNF575","284346","ENSG00000176472","zinc finger protein 575"
2130.09793951534,-1.52990188099836,0.175705780064826,1.76306312315222e-18,2.74014900542091e-17,"HCFC1","3054","ENSG00000172534","host cell factor C1"
298.225725665389,-1.64591080631716,0.188368468932195,1.77671011400215e-18,2.7592906961503e-17,"C19orf25","148223","ENSG00000119559","chromosome 19 open reading frame 25"
601.960158382444,-1.84601590723462,0.206982776079853,1.79589848424839e-18,2.78700323906601e-17,"WASH3P","374666","ENSG00000290823","WASP family homolog 3, pseudogene"
35.0617415284897,-1.97242622862021,0.229683421967084,1.83231101334512e-18,2.84138401194348e-17,"CCDC96",NA,NA,"CCDC96"
2384.88817020959,-2.46003836659411,0.274484253531521,1.85244404058585e-18,2.87045757051319e-17,"RAPGEF3","10411","ENSG00000079337","Rap guanine nucleotide exchange factor 3"
115.789949173261,-2.7842168415255,0.306383562122328,1.87646226838542e-18,2.90333523958469e-17,"RBPMS2","348093","ENSG00000166831","RNA binding protein, mRNA processing factor 2"
308.4667348924,-1.63439664069697,0.188587858245247,1.88417972681349e-18,2.91310203400628e-17,"HIC2","23119","ENSG00000169635","HIC ZBTB transcriptional repressor 2"
554.021537812787,-1.48677315789608,0.168720607955446,1.8968353133301e-18,2.93048334957324e-17,"DHX37","57647","ENSG00000150990","DEAH-box helicase 37"
5286.38960022369,-1.55856440005539,0.181941802272413,1.90678016625455e-18,2.9436539975395e-17,"NUCB1","4924","ENSG00000104805","nucleobindin 1"
501.763863130632,-1.46099914960919,0.165843720133551,1.91310979956205e-18,2.95122808588691e-17,"ADCK4",NA,NA,"ADCK4"
127.145118199453,-1.87012481830999,0.215570449364603,1.93893216615183e-18,2.98883870638111e-17,"SNAI3-AS1","197187","ENSG00000260630","SNAI3 antisense RNA 1"
239.584954239687,-2.07473932362744,0.23683932472204,1.94325915290239e-18,2.99328321078197e-17,"LOC80154",NA,NA,"LOC80154"
1764.68770874713,1.0581845188674,0.125440630176347,1.96443638583834e-18,3.02365698497301e-17,"RECQL","5965","ENSG00000004700","RecQ like helicase"
149.582316408992,-1.73177401335094,0.20000730631856,2.0775881893098e-18,3.19544776921069e-17,"CCDC106","29903","ENSG00000173581","coiled-coil domain containing 106"
820.824899942129,-1.86248048486651,0.216854698327209,2.10159711034486e-18,3.22997871673684e-17,"NCLN","56926","ENSG00000125912","nicalin"
4687.36168299979,1.0933889248852,0.129392154668606,2.23019025528292e-18,3.42507663428006e-17,"ACTR3","10096","ENSG00000115091","actin related protein 3"
1588.38090904679,-1.85357033696695,0.208920090162529,2.2552734595422e-18,3.46049903204945e-17,"CPSF1","29894","ENSG00000071894","cleavage and polyadenylation specific factor 1"
850.892237717921,-2.02261828903095,0.241523606096684,2.25659320471271e-18,3.46049903204945e-17,"LEPREL2",NA,NA,"LEPREL2"
723.067948793614,-2.95351686626229,0.346966808952615,2.26350131354514e-18,3.46852717913757e-17,"SNORA68","26780","ENSG00000207166","small nucleolar RNA, H/ACA box 68"
107.019645310969,-1.60741343489608,0.181028428569097,2.35668994345513e-18,3.60865971917689e-17,"UGDH-AS1","100885776","ENSG00000249348","UGDH antisense RNA 1"
100.988623836082,3.40361078363788,0.419089543185841,2.38003868622506e-18,3.64067133299497e-17,"CD80","941","ENSG00000121594","CD80 molecule"
519.275271948615,-1.74026311515739,0.198283119998712,2.38110757128306e-18,3.64067133299497e-17,"CRIPAK",NA,NA,"CRIPAK"
507.203647277028,1.23182706005718,0.14965285911234,2.40200643903832e-18,3.66991890203253e-17,"NMI","9111","ENSG00000123609","N-myc and STAT interactor"
810.580811381384,2.94561842065709,0.411258757274275,2.4112445172178e-18,3.68132051365807e-17,"SNORA74A","26821","ENSG00000200959","small nucleolar RNA, H/ACA box 74A"
284.057138177031,-1.86135939237552,0.219016206893367,2.43559041449209e-18,3.71575394140283e-17,"PPAN","56342","ENSG00000130810","peter pan homolog"
66.4071200451705,-2.74364968034712,0.296916211239587,2.43955282345168e-18,3.71906240357527e-17,"FLJ00277",NA,NA,"FLJ00277"
140.707237270723,-2.12718642429991,0.237844582952438,2.44136354212579e-18,3.71908819389375e-17,"BSN","8927","ENSG00000164061","bassoon presynaptic cytomatrix protein"
