"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010720","GO:0010720","positive regulation of cell development","153/4203","397/13465",0.385390428211587,1.23466145987842,3.19703077468272,0.00099207660592161,0.0275390803342817,0.0246095923248436,"MEGF8/OBSL1/SMARCC2/BRD4/SART1/NUMBL/CR1/STK11/HSF1/CSF1/ITPKB/MECP2/MAPRE3/BIN1/HLX/TBC1D24/PTPRC/SOX13/ANAPC2/STK25/ZMIZ1/BAIAP2/HLA-DRA/GDI1/TGFB1/PNP/GPR65/ASPM/DDRGK1/SRRT/IL1B/SMARCA4/SOX12/SMAD7/ROBO3/CD80/CLCN2/SHANK3/RIPK2/RARA/RPTOR/ID2/BAD/CLEC7A/CD86/MALT1/DAG1/PLXNB2/EVI2B/MAP2K2/MAPT/IL7R/AP3D1/LYN/IL2RG/HIF1A/SRF/CD83/RASGRP1/PPP2R3C/DBN1/RNF112/XBP1/CLCF1/CUL7/RB1/SMO/IL6/SOX8/GAS6/IL10/METRN/CXCR4/AXL/SHOX2/VEGFA/AURKA/ZNF335/GLI2/CD27/IFNG/PLXNB3/TOX/CX3CL1/KLHL25/BTN2A2/CAMK2B/CCR1/LEF1/PLXNC1/AGER/IL2RA/PLXND1/ZBTB16/BTK/IL7/ZBTB46/BCL6/SHB/IL18/SERPINE2/NOTCH1/CD101/BMP2/MYB/PLXNB1/RHOH/ITPKA/SMARCD3/FZD3/ISLR2/XRCC2/IL23R/TGM2/IL21/ZNF488/LCK/AMIGO1/NTN1/CLDN5/BCL11A/MYRF/TYROBP/ZAP70/RND2/HLA-DRB1/TTBK1/BMP4/NEFL/WNT10B/LTA/IL34/SOX10/KIT/IL4I1/LILRB4/IL12RB1/TNF/TESPA1/CCL19/CDH4/SLC7A5/ADAM8/MAG/IL12B/RELN/IL23A/DCSTAMP/WNT3A/CHODL/PAX6/RASSF10/DSCAM",153
"GO:0003073","GO:0003073","regulation of systemic arterial blood pressure","41/4203","86/13465",0.476744186046512,1.52732820963985,3.30470548772097,0.00099384892081099,0.0275390803342817,0.0246095923248436,"MECP2/PDGFB/PLCB3/RPS6KA2/ATP6AP2/ECE1/PRCP/MANF/GAS6/PTPRO/SOD2/CORO2B/NAV2/AVPR2/POSTN/F2RL1/NR2F2/F2R/TPM1/ADORA1/CTSZ/AVPR1A/HSD11B2/NOS3/CPA3/AR/CYP4A11/CYP4F12/CMA1/ADM5/SUCNR1/TNF/CTSG/ADRB1/RASL10B/GPR37L1/TAC1/NMU/KCNK3/ADM2/ADRA1A",41
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","18/4203","30/13465",0.6,1.92219842969308,3.4062814425574,0.00104439583276406,0.0288025561651851,0.0257386650728584,"B2M/HLA-DRA/HLA-DQA1/HLA-DPA1/CTSS/FCER1G/HLA-DMB/HLA-DOB/HLA-DMA/FCGR2B/HLA-DPB1/HLA-DQB2/HLA-DOA/HLA-DQB1/IFI30/HLA-DRB1/HLA-DRB4/HLA-DQA2",18
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","37/4203","76/13465",0.486842105263158,1.55967855040886,3.29598894580769,0.00106056788705983,0.0288689987755039,0.0257980398062588,"BRD4/SLC4A2/ITPKB/HLX/HLA-DRA/PNP/GPR65/IRF4/SMAD7/CD80/RIPK2/RARA/CD86/MALT1/AP3D1/IL2RG/CD83/PRDM1/IFNG/KLHL25/ZBTB16/BCL6/SHB/IL18/CD69/IL23R/BATF/ZAP70/HLA-DRB1/LILRB4/IL12RB1/CCL19/TBX21/JAK3/IL12B/IL23A/ZNF683",37
"GO:0050796","GO:0050796","regulation of insulin secretion","61/4203","139/13465",0.438848920863309,1.40592451092659,3.24053808481393,0.00106929219028929,0.0288689987755039,0.0257980398062588,"GNA11/RPH3AL/STX4/SREBF1/MIDN/SIRT3/LRP5/TRPM4/CAPN10/PRKACA/IL1B/GNAO1/RAPGEF3/BRSK2/JAK2/SIRT6/BAD/ACSL4/PPARD/PLA2G6/HIF1A/NR1D1/NLGN2/SYT7/PICK1/PIM3/IL6/PFKL/TCIRG1/PER2/PRKCB/SERP1/IFNG/TCF7L2/ADRA2C/FFAR2/IRS2/SLC25A22/CCL5/STX1A/F2RL1/ADRA2A/ALOX5/SSTR5/MLXIPL/BLK/IRS1/ADCY5/HLA-DRB1/BAIAP3/ABCA12/INHBB/SNAP25/KCNB1/TNF/BMP8A/ADCY8/NNAT/RBP4/ABCC8/NOS2",61
"GO:0007596","GO:0007596","blood coagulation","88/4203","213/13465",0.413145539906103,1.32357951340368,3.20659760497158,0.00108088297667413,0.0288689987755039,0.0257980398062588,"ADAMTS13/MYH9/HSPB1/PDGFB/DGKQ/BLOC1S3/HPS5/C1GALT1C1/JAK2/LMAN1/ENTPD1/C1QTNF1/EMILIN1/SLC7A11/LYN/FCER1G/SRF/VAV2/STXBP1/TBXA2R/MYL9/PTPRJ/IL6/GAS6/ITPK1/AXL/DGKD/PLEK/PIK3CG/FLNA/TUBB1/TLR4/TSPAN9/DGKZ/ADRA2C/MMRN1/SRC/PEAR1/SLC4A1/KRT1/ENTPD2/ADRA2B/SERPINE2/VAV3/PRRG3/F13A1/F2RL1/ADRA2A/FZD6/FBLN1/PLCG2/PDPN/F2R/HPSE/GP1BA/ANGPTL2/SERPINA1/FAP/THBD/LCK/ITGA2/NOS3/P2RY12/CD40LG/SCUBE1/F12/GP9/C4BPB/SLC6A4/APOE/ADAMTS18/CTSG/VTN/SERPIND1/ADTRP/P2RX1/TSPAN32/SERPINA10/ANGPT4/F10/ADORA2A/TYRO3/F2RL3/SERPINB2/WNT3A/SAA1/ANXA8/PDIA2",88
"GO:0050854","GO:0050854","regulation of antigen receptor-mediated signaling pathway","33/4203","66/13465",0.5,1.60183202474423,3.30160737597109,0.00108923816565918,0.0288689987755039,0.0257980398062588,"PTPN2/PTPRC/IKBKG/NCK1/MALT1/LPXN/LYN/LIPA/GBP1/FCRL3/PTPRJ/TRAT1/CD19/DGKZ/SLC39A10/BTN2A2/FCGR2B/STAP1/CD72/LAPTM5/CD226/LCK/GCSAM/PAWR/KCNN4/PTPN22/SLA2/SH2D1A/LILRB4/TESPA1/CD22/UBASH3A/CCR7",33
"GO:0060760","GO:0060760","positive regulation of response to cytokine stimulus","33/4203","66/13465",0.5,1.60183202474423,3.30160737597109,0.00108923816565918,0.0288689987755039,0.0257980398062588,"TRIM56/TRIM41/MAVS/AGPAT1/CSF1/CASP4/IRF3/TLR2/RIPK2/ZBP1/HIF1A/TXK/TBK1/CASP1/GAS6/CXCR4/AXL/TAF9/LRRC70/TLR4/PARP9/PARP14/AGPAT2/IL7/TRAF2/MMP12/GFI1/LAPTM5/HPX/CD300LF/IRF7/C1QTNF4/MMP8",33
"GO:0006968","GO:0006968","cellular defense response","24/4203","44/13465",0.545454545454545,1.7474531179028,3.34527801245775,0.0010914555302648,0.0288689987755039,0.0257980398062588,"CXCR2/LSP1/MNDA/CXCL9/ITK/CCR2/TCIRG1/TRAT1/LBP/LY96/GNLY/CCR5/KLRC3/KLRG1/LGALS3BP/PRF1/TYROBP/KLRC2/CCR6/SH2D1A/NCR1/CLEC5A/ADORA2A/CD5L",24
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","24/4203","44/13465",0.545454545454545,1.7474531179028,3.34527801245775,0.0010914555302648,0.0288689987755039,0.0257980398062588,"MAD1L1/XRCC3/TTK/BUB1/MAD2L1/INCENP/KNTC1/SKA3/NUF2/ATM/KLHL22/ZWILCH/GEN1/NDC80/BIRC5/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/AURKB",24
